OID,X,Y,Data,date
125,-13.75,17,1.0374,2010-07-01
126,-13.75,17.5,0.6509,2010-07-01
127,-13.75,18,0.2735,2010-07-01
128,-13.75,18.5,0.0676,2010-07-01
129,-13.75,19,0.2735,2010-07-01
130,-13.75,19.5,0.4169,2010-07-01
131,-13.75,20,0.4918,2010-07-01
132,-13.75,20.5,0.4918,2010-07-01
133,-13.75,21,0.4918,2010-07-01
134,-13.75,21.5,0.6509,2010-07-01
135,-13.75,22,0.204,2010-07-01
136,-13.75,22.5,-0.2735,2010-07-01
137,-13.75,23,0.0676,2010-07-01
138,-13.75,23.5,0.5696,2010-07-01
139,-13.75,24,0.4918,2010-07-01
140,-13.75,24.5,1.3052,2010-07-01
141,-13.75,25,1.1609,2010-07-01
142,-13.75,25.5,0.4169,2010-07-01
143,-13.75,26,0.0676,2010-07-01
144,-13.75,26.5,0.204,2010-07-01
145,-13.75,29,0.5696,2010-07-01
146,-13.125,8.5,1.1609,2010-07-01
147,-13.125,9,0.9279,2010-07-01
148,-13.125,9.5,0.9279,2010-07-01
149,-13.125,10,0.8286,2010-07-01
150,-13.125,10.5,1.0374,2010-07-01
151,-13.125,11,1.0374,2010-07-01
152,-13.125,11.5,1.0374,2010-07-01
153,-13.125,12,1.0374,2010-07-01
154,-13.125,12.5,0.7369,2010-07-01
155,-13.125,13,0.4169,2010-07-01
156,-13.125,13.5,0.4918,2010-07-01
157,-13.125,14,1.0374,2010-07-01
158,-13.125,14.5,1.3052,2010-07-01
159,-13.125,15,1.4835,2010-07-01
160,-13.125,15.5,1.4835,2010-07-01
161,-13.125,16,1.3052,2010-07-01
162,-13.125,16.5,0.9279,2010-07-01
163,-13.125,17,0.9279,2010-07-01
164,-13.125,17.5,0.6509,2010-07-01
165,-13.125,18,0.204,2010-07-01
166,-13.125,18.5,0,2010-07-01
167,-13.125,19,0.3443,2010-07-01
168,-13.125,19.5,0.6509,2010-07-01
169,-13.125,20,0.8286,2010-07-01
170,-13.125,20.5,0.4918,2010-07-01
171,-13.125,21,0.6509,2010-07-01
172,-13.125,21.5,0.5696,2010-07-01
173,-13.125,22,0.4918,2010-07-01
174,-13.125,22.5,0.3443,2010-07-01
175,-13.125,23,0.4918,2010-07-01
176,-13.125,23.5,0.7369,2010-07-01
177,-13.125,24,0.7369,2010-07-01
178,-13.125,24.5,0.3443,2010-07-01
179,-13.125,25,0.0676,2010-07-01
180,-13.125,25.5,-0.4918,2010-07-01
181,-13.125,26,-0.0676,2010-07-01
182,-13.125,26.5,-0.0676,2010-07-01
183,-13.125,27,0.204,2010-07-01
184,-13.125,27.5,0.2735,2010-07-01
185,-12.5,7.5,0.6509,2010-07-01
186,-12.5,8,1.0374,2010-07-01
187,-12.5,8.5,1.4835,2010-07-01
188,-12.5,9,1.4835,2010-07-01
189,-12.5,9.5,1.3052,2010-07-01
190,-12.5,10,1.1609,2010-07-01
