OID,X,Y,Data,date
82,-14.375,12.5,-0.1355,1/1/2005
83,-14.375,13,-0.0676,1/1/2005
84,-14.375,13.5,-0.1355,1/1/2005
85,-14.375,14,-0.7369,1/1/2005
86,-14.375,14.5,-1.1609,1/1/2005
87,-14.375,15,-1.7276,1/1/2005
88,-14.375,15.5,-2.1678,1/1/2005
89,-14.375,16,-2.1678,1/1/2005
90,-14.375,16.5,-2.1678,1/1/2005
91,-14.375,17,-2.1678,1/1/2005
92,-14.375,17.5,-2.1678,1/1/2005
93,-14.375,18,-2.1678,1/1/2005
94,-14.375,18.5,-2.1678,1/1/2005
95,-14.375,19,-1.3052,1/1/2005
96,-14.375,19.5,0.1355,1/1/2005
97,-14.375,20,0.4169,1/1/2005
98,-14.375,20.5,0.6509,1/1/2005
99,-14.375,21,0.4918,1/1/2005
100,-14.375,21.5,0.1355,1/1/2005
101,-14.375,22,0.1355,1/1/2005
102,-14.375,22.5,0.2735,1/1/2005
103,-14.375,23,0.1355,1/1/2005
104,-14.375,23.5,-0.1355,1/1/2005
105,-14.375,24,-0.4918,1/1/2005
106,-14.375,24.5,-0.8286,1/1/2005
107,-14.375,25,-0.9279,1/1/2005
108,-14.375,25.5,-1.0374,1/1/2005
109,-14.375,26,-1.1609,1/1/2005
110,-13.75,9.5,0.4918,1/1/2005
111,-13.75,10,0.4918,1/1/2005
112,-13.75,10.5,0.4169,1/1/2005
113,-13.75,11,0.5696,1/1/2005
114,-13.75,11.5,0.6509,1/1/2005
115,-13.75,12,0.204,1/1/2005
116,-13.75,12.5,-0.3443,1/1/2005
117,-13.75,13,-1.4835,1/1/2005
118,-13.75,13.5,-1.7276,1/1/2005
119,-13.75,14,-2.1678,1/1/2005
120,-13.75,14.5,-1.7276,1/1/2005
121,-13.75,15,-0.9279,1/1/2005
122,-13.75,15.5,-1.4835,1/1/2005
123,-13.75,16,-2.1678,1/1/2005
124,-13.75,16.5,-2.1678,1/1/2005
125,-13.75,17,-2.1678,1/1/2005
126,-13.75,17.5,-2.1678,1/1/2005
127,-13.75,18,-2.1678,1/1/2005
128,-13.75,18.5,-2.1678,1/1/2005
129,-13.75,19,-1.4835,1/1/2005
130,-13.75,19.5,0.1355,1/1/2005
131,-13.75,20,0.4169,1/1/2005
132,-13.75,20.5,0.6509,1/1/2005
133,-13.75,21,0.6509,1/1/2005
134,-13.75,21.5,0.4918,1/1/2005
135,-13.75,22,0.5696,1/1/2005
136,-13.75,22.5,0.9279,1/1/2005
137,-13.75,23,0.4918,1/1/2005
138,-13.75,23.5,0.1355,1/1/2005
139,-13.75,24,-0.3443,1/1/2005
140,-13.75,24.5,-0.4918,1/1/2005
141,-13.75,25,-0.6509,1/1/2005
142,-13.75,25.5,-0.6509,1/1/2005
143,-13.75,26,-0.5696,1/1/2005
144,-13.75,26.5,-0.5696,1/1/2005
